uni,major,minor,course,fee,success_rate,round1,round2,round3,round4,lat,lon
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมปัญญาประดิษฐ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,384000,90,30,0,30,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมอุตสาหการ,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ (ภาษาไทย ปกติ) วิทยาเขต อีอีซี,432000,98,20,20,20,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมอุตสาหการ,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,432000,98,20,20,20,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมยานยนต์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการผลิตยานยนต์ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,384000,96,20,0,20,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมเมคคาทรอนิกส์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมหุ่นยนต์และระบบอัตโนมัติ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,502500,96,10,0,10,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,เทคโนโลยีสารสนเทศ,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต อีอีซี,360000,90,30,0,30,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,เทคโนโลยีสารสนเทศ,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,360000,90,30,0,30,0,13.8879,100.5114
มหาวิทยาลัยหอการค้าไทย,คณะวิศวกรรมศาสตร์,วิศวกรรมโลจิสติกส์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมโลจิสติกส์) (ภาษาไทย ปกติ),340000,80,0,0,60,0,13.7671,100.5516
มหาวิทยาลัยหอการค้าไทย,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมไฟฟ้าและพลังงาน) (ภาษาไทย ปกติ),340000,80,0,0,60,0,13.7671,100.5516
มหาวิทยาลัยหอการค้าไทย,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์) (ภาษาไทย ปกติ),340000,80,0,0,60,0,13.7671,100.5516
